title	path
National Federation of Independent Business	real
comments in Fayetteville NC	real
"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News"	real
Democratic Leaders Say House Democrats Are United Against GOP Default Act	real
Budget of the United States Government, FY 2008	real
Donald Trump exaggerates when he says China has 'total control' over North Korea	real
25th Amendment	real
子供たちのコト。私のコト。	real
Briefing by White House Press Secretary Robert Gibbs, 9/10/09	real
A Solar Grand Plan: Scientific American	real
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion	real
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation"	real
Political TV Ad Archive » PolAd	real
Bureau of Labor Statistics Data	real
Summary of the Affordable Care Act	real
'This Week' Transcript: Holder and Giuliani	real
Impeachment Talk Becomes a Cynical Game	real
Preventing the Flu: Good Health Habits Can Help Stop Germs	real
Las Vegas campaign rally	real
MoveOn.org Political Action: 10 things to know about McCain	real
Rand Paul Campaigns in Iowa for Miller-Meeks	real
Hispanic Populations Share of Wealth Likely to Increase by 2025	real
Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men	real
Already a lost decade: Working-age household income down more than 10% since 2000	real
U.S. Senate: Supreme Court Nominations: present-1789	real
PolitiFact’s annotated transcript of the second presidential debate	real
Obamas comments on capandtrade costs	real
Des Moines Register	real
The Tonight Show with Jay Leno	real
'This Week' Transcript: Pelosi and Gates	real
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners	real
Joint DHS and ODNI Election Security Statement	real
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress	real
Palin-Huey	real
Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page	real
No, We Can’t? Or Won’t?	real
Barack Obama’s Remarks in St. Paul	real
letter to Chaffetz and Cummings	real
The Arena - Politico's daily debate with policymakers and opinion shapers	real
The Economic Burden Caused by Tax Code Complexity	real
McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development	real
To young people who are undocumented: This is your country, too.	real
Transcript of AP interview with Trump	real
Change We Can Believe In	real
Infrastructure Report Card 2005	real
GOP Task Force, Lone Democrat Eye Trafficking Law	real
Dr. James Dobson	real
McCain: McSame as Bush	real
john.he.is	real
Remarks on counterterrorism at Stanford University	real
iQ media Clip Player	real
Remarks by the President on Increasing Oversight on Manipulation in Oil Markets	real
U.S. Army's Involvement in Motorsports	real
UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States	real
Watch a replay of Fox News' 5 p.m. presidential debate	real
It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium	real
"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z"""	real
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal	real
Births: Preliminary Data for 2005	real
Congress: Job Ratings	real
Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records	real
Transcript: The Democratic debate in Milwaukee, annotated	real
Crist has experience to be vice president, McCain says	real
Strong Words in Ohio as Obama and Clinton Press On	real
LexisNexis(R) Publisher	real
“Dictionary” on President Obama’s Health Care Taxes	real
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia	real
Gross Domestic Product Percent change from preceding period	real
Who Benefits from President Trump’s Child Care Proposals	real
Organizing for Action	real
2008 Presidential Election	real
The Return of the Viral Email	real
'This Week' Transcript: Rep. Paul Ryan	real
International Energy Statistics	real
Interview with Sen John McCain	real
Obama campaign radio ad	real
Remarks by the President on a New Strategy for Afghanistan and Pakistan	real
At Trump hotel site, immigrant workers wary	real
Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended	real
Candidate Comparison	real
Political TV Ad Archive » PolAd	real
Ted Cruz' Full 'Meet the Press' Interview	real
"""New Energy"" Ad"	real
Session Law	real
Interview with Rudy Giuliani	real
'This Week' Transcript: McKay, Napolitano, Salazar and Allen	real
Missing Teen-Ager Found in New Jersey	real
Full text: Jeff Flake on Trump speech transcript	real
'This Week' Transcript: Biden	real
Rising to a New Generation of Global Challenges	real
Browse Congressional Bills	real
Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate	real
Biden Issues Statement Following Conversation with Musharraf	real
Remarks by the President on the American Jobs Act	real
remarks in Philadelphia	real
Krugman calls Senate health care bill similar to law in Massachusetts	real
US Government Accountability Office Report to Congressional Committees	real
Philando Castile Had Been Stopped 52 Times By Police	real
Regular Session Senate Transcript	real
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test	real
05/27/99 Committee on the Judiciary	real
About Bright Horizons Child Care & Family Solutions	real
No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says	real
Full Interview Transcript: President Barack Obama	real
National Income and Product Accounts Table 175 Relation of Gross Domestic Product	real
America's Enduring Strength	real
Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com)	real
'This Week' Transcript: Former Vice President Dick Cheney	real
Transcript: Blue-Ribbon Panel on Health Care	real
Republican response to President Barack Obamas Weekly radio address	real
The Colbert Report	real
U.S. Senate: U.S. Senate Roll Call Votes 105th Congress	real
Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates	real
Outlook, Office, Skype, Bing, Breaking News, and Latest Videos	real
China's Space Threat: How Missiles Could Target U.S. Satellites	real
